157;Iut d'Amiens;04/10/2016;Non;03 22 53 40 91;christine.beuvain@u-picardie.fr ;Avenue des Facultés  Le Bailly ;80025;AMIENS CEDEX 1 ;Non;DUT BIO
158;Iut d'Amiens;04/10/2017;Non;03 22 53 40 42;cathy.montigny@u-picardie.fr ;Avenue des Facultés  Le Bailly ;80025;AMIENS CEDEX 1 ;Non;DUT GC
159;Iut d'Amiens;04/10/2018;Non;03 22 53 40 51;dominique.doyen@u-picardie.fr ;Avenue des Facultés Le Bailly ;80025;AMIENSCEDEX 1  ;Non;DUT GMP
160;Iut d'Amiens;04/10/2019;Non;03 22 53 40 81;sabine.nieuwjaer@u-picardie.fr ;Avenue des Facultés  Le Bailly ;80025;AMIENSCEDEX 1  ;Non;DUT INFO
161;Lycée Madeleine Michelis;22/09/2016;Non;03 22 22 43 00;Ce.0800010B@ac-amiens.fr;43 rue des Otages;80037;AMIENS CEDEX 1 ;Oui;Non
162;Lycée Edouard Branly;22/09/2016;Non;03 22 53 49 60;Ce.0801327H@ac-amiens.fr;70 boulevard de Saint Quentin CS 69003;80094;Amiens Cedex 3 ;Oui;Oui
163;Lycée La Providence;22/09/2016;Non;03 22 33 77 77;Ce.0801742J@ac-amiens.fr;146 Boulevard St Quentin;80094;AMIENS CEDEX 3 ;Oui;Oui
164;Lycée Louis Thuillier;22/09/2016;Non;03 22 53 41 00;ce.0800009A@ac-amiens.fr;70 boulevard de Saint-Quentin CS 99006;80094;Amiens Cedex 3 ;Oui;CPGE 
165;Lycée Saint-Riquier;22/09/2016;Non;03 22 46 04 61;striquier.amiens@ac-amiens.fr;50 chaussée Jules Ferry;80094;AMIENS CEDEX 3 ;Oui;Non
166;Lycée Robert de Luzarches;22/09/2016;Non;03 22 47 77 77; Ce.0801841S@ac-amiens.fr;4 rue Le Mongnier BP 40043;80097;Amiens Cedex 3 ;Oui;Non
167;Lycée Saint-Pierre;22/09/2016;Non;03 22 20 62 00;stpierre.abbeville@ac-amiens.fr;24 place Clemenceau;80103;ABBEVILLE CEDEX  ;Oui;Non
168;Lycée Boucher de Perthes;22/09/2016;Non;03 22 25 41 00;Ce.0800001S@ac-amiens.fr;1 rue Paul Delique;80142;ABBEVILLE CEDEX  ;Oui;Non
169;Lycée Sacré-Coeur;22/09/2016;Non;03 22 84 71 02;Ce.0801226Y@ac-amiens.fr;36 boulevard des Anglais;80200;PERONNE   ;Oui;Non
170;Lycée Pierre Mendès France;22/09/2016;Non;03 22 73 35 00;Ce.0800046R@ac-amiens.fr;Route de Saint Denis BP 29;80201;PERONNE CEDEX  ;Oui;Non
171;Lycée Polyvalent Lamarck;22/09/2016;Non;03 22 74 46 00;Ce.0800007Y@ac-amiens.fr;Avenue Robert Solente BP 201;80301;ALBERT CEDEX  ;Oui;Oui
172;LEGTA d'Amiens Le Paraclet;22/09/2016;Non;03 22 35 30 00;legta.amiens@educagri.fr;Le Paraclet;80440;COTTENCHY   ;Oui;Oui
173;Lycée Jean Racine;22/09/2016;Non;03 22 98 31 60;Ce.0801853E@ac-amiens.fr;541 rue Pasteur;80500;MONTDIDIER   ;Oui;S
174;Lycée du Vimeu;22/09/2016;Non;03 22 20 76 40;Ce.0801864S@ac-amiens.fr;3 rue Denis Papin BP 50066;80534;FRIVILLE EXCARBOTIN CEDEX ;Oui;Oui
175;Lycée de l'Authie;22/09/2016;Non;03 22 77 72 00;Ce.0801900F@ac-amiens.fr;20 rue de Routequeue;80600;DOULLENS   ;Oui;Non
176;Lycée Montalembert;22/09/2016;Non;03 22 77 73 73;direction@montalembert.net;3 route d'Amiens BP 63;80600;DOULLENS   ;Oui;Non
177;Lycée privé Saint-Jean;28/09/2016;Non;03 81 47 41 25;institution@notredamesaintjean.com;1 rue de l'Espérance;25000;BESANCON   ;S;Non
178;Lycée privé Saint-Paul;28/09/2016;Non;03 81 47 29 29 ;ce.0251021z@ac-besancon.fr;8 Boulevard Diderot;25000;BESANCON   ;S - STI2D;ATI - CPI
179;Lycée Claude Nicolas Ledoux;28/09/2016;Non;03 81 48 18 18;ce.0251711z@ac-besancon.fr;Rue Alain Savary  BP 1327;25006;BESANCON   ;S;Non
180;Iut de Besançon-Vesoul;28/09/2016;Non;03 81 66 68 56;remy.viennet@univ-fcomte.fr ;30 avenue de l'Observatoire  BP 1559;25009;BESANCON CEDEX  ;Non;DUT CHIMIE
181;Iut de Besançon-Vesoul;28/09/2016;Non;03 81 66 68 81;jean-luc.sommer@univ-fcomte.fr ;30 avenue de l'Observatoire  BP 1559;25009;BESANCON CEDEX  ;Non;DUT GMP
182;Lycée Louis Pergaud;28/09/2016;Non;03 81 54 77 77 ;ce.0250010a@ac-besancon.fr;93 Bd Blum BP 979;25022;BESANCON CEDEX  ;S - STL;SIO - TC
183;Lycée Jules Haag;28/09/2016;Non;03 81 81 01 45;ce.0250011b@ac-besancon.fr;1 rue Edmond Labbé;25041;BESANCON CEDEX  ;S - STL - STI2D;CIM - CRSA - CIRA - SN
184;Lycée Pasteur;28/09/2016;Non;03 81 81 22 89;ce.0250008y@ac-besancon.fr;4 rue du Lycée;25043;BESANCON CEDEX  ;S;Non
185;Lycée Victor Hugo;28/09/2016;Non;03 81 41 98 88;ce.0250007x@ac-besancon.fr;1 rue Rembrandt  BP 2159;25052;BESANCON CEDEX  ;S - STI2D; CPGE  BCPST - MP - PC - PSI
186;Lycée Le Grand Chênois;28/09/2016;Non;03 81 98 25 21;ce.0250033a@ac-besancon.fr;Rue Donzelot  BP 226;25204;MONTBELIARD CEDEX  ;S;Non
187;Lycée Jules Viette;28/09/2016;Non;03 81.99 84 84 ; ce.0250032z@ac-besancon.fr;1bis rue Pierre Donzelot BP 327;25206;MONTBELIARD CEDEX  ; S - STI2D;ATI – ELEC CPGE TSI
188;Lycée Georges Cuvier;28/09/2016;Non;03 81.90.77.40;ce.0250030x@ac-besancon.fr;1 Place Jean Monnet BP 347;25207;MONTBELIARD CEDEX  ;S;TC
189;IUT - SITE DE MONTBELIARD;28/09/2016;Non;03 81 99 46 02;dut-mp-montbeliard@univ-fcomte.fr ;4 Place Tharradin BP 71427;25211;MONTBELIARD CEDEX  ;Non;DUT MP
190;IUT - SITE DE MONTBELIARD;28/09/2016;Non;03 81 99 47 00;dut-rt-montbeliard@univ-fcomte.fr ;4 Place Tharradin BP 71427;25211;MONTBELIARD CEDEX  ;Non;DUT RT
191;Lycée privé les Augustins;28/09/2016;Non;03 81 46 49 76;lesaugustins.pontarlier@scolafc.org;1 Faubourg St Etienne;25300;PONTARLIER   ;S;Non
192;Lycée Xavier Marmier;28/09/2016;Non;03 81 46 94 80 ;ce.0250043l@ac-besancon.fr;53 rue du Doubs BP 269;25304;PONTARLIER CEDEX  ;S;Non
193;Lycée Edgar Faure;28/09/2016;Non;03 81 67 68 80;ce.0251671f@ac-besancon.fr;2 rue du Docteur Sauze BP 63087;25503;MORTEAU CEDEX  ;S - STI2D;CIM
194;Lycée Armand Peugeot;28/09/2016;Non;03 81 30 71 00;ce.0250058c@ac-besancon.fr;35 Rue des Carrières  BP 22119;25702;VALENTIGNEY CEDEX  ;S;Non
195;Lycée privé Sainte-Marie;28/09/2016;Non;03 84 47 09 67;administration@stemarie-lons.fr;84 rue St Désiré BP 159;39004;LONS LE SAUNIER ;S;SN
196;Lycée Jean Michel;28/09/2016;Non;03 84 35 26 00;ce.0390019j@ac-besancon.fr;400 rue du Docteur Michel - BP 308;39015;LONS LE SAUNIER ;S;Non
197;Lycée privé Pasteur Mont-Roland;28/09/2016;Non;03 84 79 66 00;ce.0391146j@ac-besancon.fr;36 Rue du Gouvernement  BP 24;39107;DOLE   ;S;FED - SIO - TC
198;Lycée Charles NODIER;28/09/2016;Non;03 84 79 00 99 ;ce.0390012b@ac-besancon.fr;6 grande Rue BP 28;39107;DOLE CEDEX  ;S;Non
199;Lycée Jacques Duhamel;28/09/2016;Non;03 84 79 78 00;ce.0390013c@ac-besancon.fr;Rue Charles Laurent Thouverey BP 8;39107;DOLE CEDEX  ;S - STI2D;CPI - Métier de l'eau - ELEC
200;Lycée Victor Considerant;28/09/2016;Non;03 84 73 02 78 ;ce.0390042j@ac-besancon.fr;Route d'Ornans;39110;SALINS LES BAINS ;S;Non
201;Lycée Pré Saint-Sauveur;28/09/2016;Non;03 84 45 33 03; ce.0390786t@ac-besancon;Cité Scolaire Pré Saint Sauveur  BP 19;39201;SAINT CLAUDE  ;S - STI2D;Non
202;Lycée Paul-Emile Victor;28/09/2016;Non;03 84 53 10 00;ce.0391092a@ac-besancon.fr;625 Avenue Gottmadingen   BP 116;39300;CHAMPAGNOLE CEDEX  ;Oui;Oui
203;Lycée du bois;28/09/2016;Non;03 84 73 74 00;ce.0390029v@ac-besancon.fr;Rue de Strasbourg;39330;MOUCHARD   ;Oui;Oui
204;Lycée Victor Bérard;28/09/2016;Non;03 84 34 17 00 ;ce.0390027t@ac-besancon.fr;35 Quai Aimé Lamy  BP 87;39403;MOREZ CEDEX  ;Oui;Oui
205;Lycée Hyacinthe Friant;28/09/2016;Non;03 84 37 21 34 ;ce.0390033z@ac-besancon.fr;2 rue Hyacinthe Friant  BP 50029;39801;POLIGNY   ;Oui;Non
206;Iut de Besançon-Vesoul;28/09/2016;Non;03 84 75 95 18;sandrine.andryinski@univ-fcomte.fr ;Avenue des Rives du Lac BP 179;70003;VESOUL CEDEX  ;Non;DUT
207;Lycée Edouard Belin;28/09/2016;Non;03 84.75.53.23;ce.0700905d@ac-besancon.fr;18 Rue E. Belin - BP 50289;70006;VESOUL CEDEX  ;Oui;Oui
208;Lycée Les Haberges;28/09/2016;Non;03 84 97 17 20 ;ce.0701052n@ac-besancon.fr;1 rue Jean - Georges Girard 6 BP 60435;70014;VESOUL CEDEX  ;S;Non
209;Lycée AUGUSTIN COURNOT;28/09/2016;Non;03 84 65 07 01;ce.0700009e@ac-besancon.fr;Rue du lycée;70104;GRAY CEDEX  ;Oui;Oui
210;Lycée GEORGES COLOMB;28/09/2016;Non;03 84 89 03 80;ce.0700018p@ac-besancon.fr;1 rue G. Colomb BP 170;70204;LURE CEDEX  ;Oui;Oui
211;Lycée Lumière;28/09/2016;Non;03 84 40 21 21;ce.0701078s@ac-besancon.fr;33 Ter rue de Grammont BP 90155;70306;LUXEUIL LES BAINS ;Oui;Oui
212;Lycée LOUIS ARAGON;28/09/2016;Non;03 84 56 72 72;ce.0701035v@ac-besancon.fr;Rue Pierre Mendès France ;70400;HERICOURT   ;Oui;Non
213;Lycée privé Notre-Dame des Anges;28/09/2016;Non;03 84 28 05 58 ;ce.0900029t@ac-besancon.fr;46 bis faubourg de Montbéliard;90000;BELFORT   ;Oui;Non
214;Lycée privé Sainte-Marie;28/09/2016;Non;03 84 58 67 89; ce.0900030u@ac-besancon.fr;40 faubourg des Ancêtres BP 337;90006;BELFORT CEDEX  ;Oui;Oui
215;Iut de Belfort-Montbéliard;28/09/2016;Non;03 84 58 77 91;dut-gc-belfort@univ-fcomte.fr ;19 avenue Maréchal Juin BP 527;90016; BELFORT CEDEX ;Non;DUT
216;Iut de Belfort-Montbéliard;28/09/2016;Non;03 84 58 77 47;dut-geii-belfort@univ-fcomte.fr ;19 avenue Maréchal Juin BP 527;90016; BELFORT CEDEX ;Non;DUT
217;Iut de Belfort-Montbéliard;28/09/2016;Non;03 84 58 77 49;dut-gte-belfort@univ-fcomte.fr ;19 avenue Maréchal Juin BP 527;90016; BELFORT CEDEX ;Non;DUT
218;Iut de Belfort-Montbéliard;28/09/2016;Non;03 84 58 77 82;dut-info-belfort@univ-fcomte.fr ;19 avenue Maréchal Juin BP 527;90016; BELFORT CEDEX ;Non;DUT
219;Lycée Condorcet;28/09/2016;Non;03 84 46 64 80;ce.0900002n@ac-besancon.fr;13 avenue Roosevelt  BP 537;90016;BELFORT CEDEX  ;Oui;Oui
220;Lycée Raoul Follereau;28/09/2016;Non;03 84.90 16 00;ce.0900004r@ac-besancon.fr;3 rue Louis Marchal  BP 535;90016;BELFORT CEDEX  ;Oui;Oui
221;Lycée Courbet;28/09/2016;Non;03 84 54 06 07;ce.0900003p@ac-besancon.fr;Avenue Gambiez  BP 804;90020;BELFORT CEDEX  ;Oui;Non
222;IUT;;Non;05.53.02.58.54;giraudel@u-bordeaux4.fr;39 Rue Paul Mazy;24019;PERIGUEUX CEDEX  ;Non;DUT
223;IUT;;Non;05.53.02.58.54;;39 Rue Paul Mazy;24019;PERIGUEUX CEDEX  ;Non;DUT
224;Lycée Saint-Louis;21/10/2016;Non;05 56 69 35 95;ce.0332468d@ac-bordeaux.fr;Rue Jean Hameau BP 233;33028;BORDEAUX CEDEX  ;Oui;DUT
225;Lycée G. Eiffel;20-oct.-15;Non;05 56 33 83 00;ce.0330028b@ac-bordeaux.fr;143 Cours de la Marne;33031;BORDEAUX   ;Oui;Oui
226;IUT;;Non;05 57 12 20 44;directeur-iut-montaigne@iutb.u-bordeaux.fr;Michel de Montaigne   1 rue Jacques Ellul;33080;BORDEAUX CEDEX  ;Non;DUT
227;IUT;;Non;05 56 84 57 57;Assistante-direction@iut.u-bordeaux1.fr;15 rue Naudet CS 10207;33170;GRADIGNAN   ;Non;DUT
228;IUT;;Non;05 56 84 57 57;Assistante-direction@iut.u-bordeaux1.fr;15 rue Naudet CS 10207;33170;GRADIGNAN   ;Non;DUT
229;IUT;;Non;05 56 84 57 57;Assistante-direction@iut.u-bordeaux1.fr;15 rue Naudet CS 10207;33170;GRADIGNAN   ;Non;DUT
230;IUT;;Non;05 56 84 57 57;Assistante-direction@iut.u-bordeaux1.fr;15 rue Naudet CS 10207;33170;GRADIGNAN   ;Non;DUT
231;IUT;;Non;05 56 84 57 57;Assistante-direction@iut.u-bordeaux1.fr;15 rue Naudet CS 10207;33170;GRADIGNAN   ;Non;DUT
232;IUT;;Non;05 56 84 57 57;Assistante-direction@iut.u-bordeaux1.fr;15 rue Naudet CS 10207;33170;GRADIGNAN   ;Non;DUT
233;Lycée polyvalent les Iris;;Non;05 57 80 10 60;ce.0332832z@ac-bordeaux.fr;13 rue Saint Cricq - BP 69;33305;LORMONT Cedex  ;S - STI2D;CPI - ELEC
234;IUT;;Non;05 58 51 37 00;;371 Rue du Ruisseau  BP 201;40004;MONT DE MARSAN CEDEX;Non;DUT
235;IUT;;Oui;05 58 51 37 00;;371 Rue du Ruisseau  BP 201;40004;MONT DE MARSAN CEDEX;Non;DUT
236;IUT;;Non;05 58 51 37 00;;371 Rue du Ruisseau  BP 201;40004;MONT DE MARSAN CEDEX;Non;DUT
237;IUT;;Non; 05 53 77 40 50;;184 avenue d'Italie;47000;AGEN   ;Non;DUT
238;Lycée Bernard Palissy;;Non;05 53 77 46 50;ce.0470001w@ac-bordeaux.fr;164 boulevard de la Liberté - BP 30291;47007;AGEN CEDEX  ;S - STL;Non
239;IUT;;Non;05 59 40 71 20;;Avenue de l'Université;64000;PAU   ;Non;DUT
240;Lycée Louis Barthou;;Non;05 59 98 98 00;ce.0640055m@ac-bordeaux.fr;2 rue Louis Barthou BP 1515;64015;PAU CEDEX  ;S;CPGE 
241;IUT;;Non;05.59.57.43.20;;Château-Neuf Place Paul Bert;64100;BAYONNE   ;Non;DUT
242;Lycée Albert Camus;21/10/2016;Oui;05 59 60 11 61;ce.0640044a@ac-bordeaux.fr;Avenue Pierre Angot BP 75;64150;MOURENX   ;Oui;Oui
243;Lycée André MALRAUX;20-oct.-15;Non;05 59 01 20 40 ;;;;   ;;
244;IUT;;Non;02-31-56-70-00;;Boulevard Maréchal Juin;14032;CAEN CEDEX  ;Non;DUT
245;IUT;;Oui;02-31-56-70-00;;Boulevard Maréchal Juin;14032;CAEN CEDEX  ;Non;DUT
246;IUT;;Non;02-31-56-70-00;;Boulevard Maréchal Juin;14032;CAEN CEDEX  ;Non;DUT
247;Lycée MARCEL GAMBIER;20-oct.-15;Non;02 31 48 24 60;ce.0140061r@ac-caen.fr;3 Rue du Général Leclerc;14107;LISIEUX CEDEX  ;S;Non
248;IUT de Caen;;Non;02 31 52 55 21;;Ifs  BP 53  ;14123; IFS CEDEX ;Non;DUT
249;IUT de Caen;;Non;02 31 52 55 21;;Ifs  BP 53  ;14123; IFS CEDEX ;Non;DUT
250;Lycée Salvador Allende;28-oct.-15;Non;02 31 53 10 79;ce.0141796b@ac-caen.fr;15 Rue Gyuon de Guercheville;14200;HEROUVILLE CEDES  ;S;Non
251;IUT;;Non;02 33 77 11 77;;120 Rue de l'exode;50000;SAINT LO  ;Non;DUT
252;IUT;;Non;02 33 77 11 77;;120 Rue de l'exode;50000;SAINT LO  ;Non;DUT
253;IUT;;Non;02 33 01 45 00;;Rue Max Pol Fouchet   BP 82;50130;OCTEVILLE   ;Non;DUT
254;IUT;;Non;02 33 01 45 00;;Rue Max Pol Fouchet   BP 82;50130;OCTEVILLE   ;Non;DUT
255;LT GERMAIN;20-oct.-15;Non;02 33.07.46.44;;73 rue d'Ilkley;50206;COUTANCES CEDEX  ;Non;Non
256;IUT;;Non;02.33.80.85.00;mayachi@iutalencon.unicaen.fr;Site Universitaire de Montfoulon;61250;DAMIGNY   ;Non;DUT
257;IUT;;Non;02.33.80.85.00;;Site Universitaire de Montfoulon;61250;DAMIGNY   ;Non;DUT
258;IUT;;Non;04 70 02 20 00;guillemet@moniut.univ-bpclermont.fr;Avenue Aristide Briand   BP 2235;3101;MONTLUÇON   ;Non;DUT
259;IUT;;Non;04 70 02 20 00;;Avenue Aristide Briand   BP 2235;3101;MONTLUÇON   ;Non;DUT
260;IUT;;Non;04 70 02 20 00;;Avenue Aristide Briand   BP 2235;3101;MONTLUÇON   ;Non;DUT
261;IUT;;Non;04 70 30 43 91;;1 Avenue des Célestins;3200;VICHY   ;Non;DUT
262;IUT;;Non;;;100 Rue de l'Egalité;15013;AURILLAC CEDEX  ;Non;DUT
263;Lycée Paul Constans;21/10/2016;Non; 04 70 08 19 30;ce.0030026M@ac-clermont.fr;Rue Christophe Thivrier BP 145;3107;MONTLCON CEDEX  ;Oui;Oui
264;IUT;;Non;04.71.09.90.40;;8 Rue Jean-Baptiste Fabre BP 219;43006;LE PUY EN VELAY;Non;DUT
265;IUT;;Non;04.71.09.90.40;;8 Rue Jean-Baptiste Fabre BP 219;43006;LE PUY EN VELAY;Non;DUT
266;IUT;;Non;04.71.09.90.40;;8 Rue Jean-Baptiste Fabre BP 219;43006;LE PUY EN VELAY;Non;DUT
267;Lycée polyvalent La Fayette;;Non;04 73 28 08 08;ce.0630021F@ac-clermont.fr;21 boulevard Robert Schuman, La Pardieu;63002;CLERMONT FERRAND CEDEX ;Non;Non
268;IUT;;Non;04 73 17 70 00;richard@iut.u-clermont1.fr;Ensemble Universitaire des Cézeaux BP 86;63172;AUBIERE CEDEX  ;Non;DUT
269;IUT;;Non;04 73 17 70 00;;Ensemble Universitaire des Cézeaux BP 86;63172;AUBIERE CEDEX  ;Non;DUT
270;IUT;;Non;04 73 17 70 00;;Ensemble Universitaire des Cézeaux BP 86;63172;AUBIERE CEDEX  ;Non;DUT
271;IUT;;Non;04 73 17 70 00;;Ensemble Universitaire des Cézeaux BP 86;63172;AUBIERE CEDEX  ;Non;DUT
272;IUT;;Non;04 73 17 70 00;;Ensemble Universitaire des Cézeaux BP 86;63172;AUBIERE CEDEX  ;Non;DUT
273;IUT;;Non;04 73 17 70 00;;Ensemble Universitaire des Cézeaux BP 86;63172;AUBIERE CEDEX  ;Non;DUT
274;Lycée J. MONNET;;Non;04 70.44.46.62;;12 rue du Repos;O3400;YZEURE   ;Non;Non
275;Lycée polyvalent Léonard de Vinci;13/10/2016;Non;01 60 56 60 60;ce.0770934x@ac-creteil.fr;2 bis rue Edouard Branly;77000;MELUN   ;Oui;Oui
276;Lycée polyvalent Simone Signoret;13/10/2016;Non;01 60 68 24 64;ce.0772310t@ac-creteil.fr;Place du 14 juillet;77000;VAUX LE PENIL ;Oui;Non
277;Lycée Saint Aspais;13/10/2016;Non;01 60 56 59 59;secretariat@lycee-st-aspais.org;36 rue St Barthélemy CS 20179;77007;MELUN   ;Oui;Non
278;Lycée Jacques Amyot;13/10/2016;Non;01 64 71 47 00;ce.0770933w@ac-creteil.fr;6 bis rue Edmond Michelet;77011;MELUN   ;Oui;CPGE 
279;Lycée général privé Bossuet;13/10/2016;Non;01 64 36 35 35;lycee.bossuet@ecm-meaux.fr;12 rue de la Visitation;77100;MEAUX   ;Oui;Non
280;Lycée Henri Moissan;13/10/2016;Non;01 60 09 77 70;ce.0770930t@ac-creteil.fr;20 Cours de Verdun;77100;MEAUX   ;Oui;CPGE 
281;Lycée Jean Vilar;13/10/2016;Non;01 60 23 00 00;ce.0772229e@ac-creteil.fr;83 avenue Salvador Allende;77100;MEAUX   ;Oui;Non
282;Lycée Pierre de Coubertin;13/10/2016;Non;01 64 34 57 27 ;ce.0770931u@ac-creteil.fr;Chaussée Paris;77100;MEAUX   ;Oui;Oui
283;Lycée polyvalent Georges Cormier;13/10/2016;Non;01 64 75 30 00;campus.coulommiers@ac-creteil.fr;6 rue des Templiers BP 165;77120;COULOMMIERS CEDEX  ;Oui;Oui
284;Lycée André Malraux;13/10/2016;Non;01 64 70 71 71;ce.0770938b@ac-creteil.fr;Avenue du Lycée;77130;MONTEREAU FAULT YONNE ;Oui;Oui
285;Lycée Etienne Bezout;13/10/2016;Non;01 64 45 50 30;ce.0770940d@ac-creteil.fr;31 avenue Etienne Dailly;77140;NEMOURS CEDEX  ;Oui;Non
286;Lycée Sainte-Croix;13/10/2016;Non;01 60 58 55 40;clg-lyc@saintecroix77.fr;1 rue des Jacobins;77160;PROVINS   ;Oui;Non
287;Lycée polyvalent Blaise Pascal;13/10/2016;Non;01 64 05 22 65;ce.0772230f@ac-creteil.fr;15 allée Commandant Guesnet BP 83;77170;BRIE EN COMTE ROBERT;Oui;Non
288;Lycée Pierre Mendès France;13/10/2016;Non;01 64 41 09 20 ;ce.0772188k@ac-creteil.fr;11 Avenue de l'Europe;77176;SAVIGNY LE TEMPLE ;Oui;Non
289;Lycée Emily Brontë;13/10/2016;Non;01 60 37 04 15;ce.0772294a@ac-creteil.fr;10 bis mail le Corbusier;77185;LOGNES   ;Oui;Non
290;Lycée polyvalent René Cassin;13/10/2016;Non;01 60 37 56 56;ce.0771941s@ac-creteil.fr;1 avenue Pierre Mendès France BP 14;77186;NOISIEL CEDEX  ;Oui;Oui
291;Lycée polyvalent Frédéric Joliot-Curie;13/10/2016;Non;01 64 39 34 34;ce.0771027y@ac-creteil.fr;168 rue Frédéric Joliot-Curie BP 36;77190;DAMMARIE LES LYS ;Oui;Non
292;Lycée Jean Moulin;13/10/2016;Non;01 60 37 38 70;ce.0772120l@ac-creteil.fr;6-8 avenue Jean Moulin BP 116;77200;TORCY   ;Oui;Non
293;Lycée Uruguay France;13/10/2016;Non;01 60 74 50 60;adm.uruguay.france@wanadoo.fr;1 Avenue des Marronniers  BP 73;77211;AVON CEDEX  ;Oui;Non
294;Lycée polyvalent Clément Ader;13/10/2016;Non;01 64 07 20 18;ce.0772342c@ac-creteil.fr;76 rue Georges Clemenceau;77220;TOURNAN EN BRIE ;Oui;Non
295;Lycée polyvalent Charlotte Delbo;13/10/2016;Non;01 64 76 06 80;ce.0772751X@ac-creteil.fr;2 avenue Robert Badinter;77230;DAMMARTIN EN GOELE ;Oui;Non
296;Lycée polyvalent Charles de Gaulle;13/10/2016;Non;01 64 02 75 23;ce.0772228d@ac-creteil.fr;6 place Jean Mermoz BP 80051;77230;LONGPERRIER   ;Oui;Non
297;Lycée Sonia Delaunay;13/10/2016;Non;01 64 41 29 29;ce.0772332s@ac-creteil.fr;1 rue Aimé Césaire;77240;CESSON   ;Oui;Non
298;Lycée privé Sainte-Céline;13/10/2016;Non;01 60 22 05 92;lycee-ste-celine77@wanadoo.fr;29 rue Pierre Marx;77260;LA FERTÉ SOUS JOUARRE;Oui;Non
299;Lycée Samuel Beckett;13/10/2016;Non;01 60 24 20 00;ce.0772685a@ac-creteil.fr;19 rue du Lion;77260;LA FERTÉ SOUS JOUARRE;Oui;Non
300;Lycée polyvalent Honoré de Balzac;13/10/2016;Non;01 64 27 80 81;ce.0771996b@ac-creteil.fr;Avenue Paul Langevin;77290;MITRY MORY  ;Oui;Non
301;Iut Sénart-Fontainebleau - Site de Fontainebleau;06/10/2016;Non;01 60 74 68 02;pierre.valarcher@u-pec.fr ;Route Forestière Hurtault;77300;FONTAINEBLEAU   ;Non;DUT INFO
302;Lycée François 1er;13/10/2016;Non;01 60 74 58 30;ce.0770927p@ac-creteil.fr;11 rue Victor Hugo;77300;FONTAINEBLEAU   ;Oui;CPGE 
303;Lycée Jeanne d'Arc - Saint-Aspais;13/10/2016;Non;01 64 22 24 89;contact-lycee@jasa.fr;18 boulevard Maginot;77300;FONTAINEBLEAU   ;Oui;Non
304;Lycée François Couperin;13/10/2016;Non;01 60 39 55 00;ce.0770926n@ac-creteil.fr;Route Hurtault;77305;FONTAINEBLEAU   ;Oui;Non
305;Fondation Ellen Poidatz;13/10/2016;Non;01 60 65 82 58;ce.0770635x@ac-creteil.fr;1 rue Ellen Poidatz;77310;SAINT FARGEAU PONTHIERRY ;Oui;Non
306;ECST - Lycée privé european campus Sainte-Thérèse;13/10/2016;Non;01 64 43 10 00 ;ce.0772324h@ac-creteil.fr;Avenue Erasme - Rond Point de l'Europe BP 150;77330;OZOIR LA FERRIERE ;Oui;Non
307;Lycée George Sand;13/10/2016;Non;01 60 56 52 00;ce.0771663p@ac-creteil.fr;Rue de la mare au diable;77350;LE MÉE SUR SEINE;Oui;Non
308;Lycée Henri Becquerel;13/10/2016;Non;01 64 08 73 83;ce.0772277g@ac-creteil.fr;1 boulevard Henri Rousselle;77370;NANGIS   ;Oui;Non
309;Lycée Galilée;13/10/2016;Non;01 60 34 53 30;ce.0772127u@ac-creteil.fr;Avenue André Malraux;77380;COMBS LA VILLE CEDEX;Oui;Non
310;Lycée Van Dongen;13/10/2016;Non;01 64 02 30 11;ce.0771512a@ac-creteil.fr;45 rue Jean Mermoz;77400;LAGNY SUR MARNE ;Oui;Non
311;Lycée privé Saint-Laurent La Paix Notre-Dame;13/10/2016;Non;01 64 12 47 00 ;st.laurent.direction@wanadoo.fr;43 Rue Brébion;77407;LAGNY SUR MARNE ;Oui;Non
312;Iut de Marne la Vallée;06/10/2016;Non;01 60 95 85 14;gccd-dir@u-pem.fr ;2 rue Albert Einstein Cité Descartes ;77420;CHAMPS SUR MARNE ;Non;DUT GCCD
313;Iut de Marne la Vallée;06/10/2016;Non;01 60 95 85 93;gte-dir.iut@u-pem.fr ;2 rue Albert Einstein Cité Descartes ;77420;CHAMPS SUR MARNE ;Non;DUT GTE
314;Iut de Marne la Vallée;06/10/2016;Non;01 60 95 85 11;dutinfo@u-pem.fr ;2 rue Albert Einstein Cité Descartes ;77420;CHAMPS SUR MARNE ;Non;DUT INFO
315;Lycée René Descartes;13/10/2016;Non;01 64 68 25 07;ce.0772223y@ac-creteil.fr;4 boulevard Copernic;77420;CHAMPS SUR MARNE ;Oui;Non
316;Lycée polyvalent Gérard de Nerval;13/10/2016;Non;01 60 37 53 00;ce.0771940r@ac-creteil.fr;89 cours des Roches BP 29;77421;NOISIEL CEDEX 2 ;Oui;Non
317;Lycée polyvalent La Fayette;20/10/2016;Non;01 64 69 54 10;ce.0770920g@ac-creteil.fr;Place des Célestins;77430;CHAMPAGNE SUR SEINE ;Oui;Oui
318;Lycée Le Gué à Tresmes;13/10/2016;Non;01 64 35 52 56;ce.0771658j@ac-creteil.fr;Le Gué à Tresmes BP 03;77440;CONGIS SUR THEROUANNE ;Oui;Non
319;Lycée polyvalent les Pannevelles;13/10/2016;Non;01 60 58 55 80;ce.0771336j@ac-creteil.fr;Route de Chalautre la Petite CS60330;77481;PROVINS CEDEX  ;Oui;Oui
